Code	Grn	GrnX	GrnY
10008	818	2227.93	196.693
10008	895	2227.938	202.6367
10008	862	2228	208.4767
10008	654	2227.953	214.524
10008	959	2227.961	220.4677
10008	1080	2227.969	226.4114
10008	830	2227.977	232.3551
10008	885	2227.985	238.2987
10008	740	2227.993	244.2424
10008	862	2228	250.1861
10008	914	2228.009	256.1297
10008	478	2228.016	262.0734
10008	778	2228.024	268.0171
10008	1021	2228.032	273.9608
10008	617	2228.04	279.9044
10008	898	2228.048	285.8481
10008	1160	2228.323	291.6599
10008	1205	2227.527	297.5026
10008	907	2228.079	309.6228
10008	1068	2228.323	315.6622
10008	921	2228.095	321.5101
10010	41	2228.103	327.4538
10010	75	2228.111	333.3974
10010	47	2228.119	339.3411
10010	34	2228	345.4397
10010	52	2228.135	351.2285
10010	33	2228.499	357
10010	42	2228.475	363
10010	54	2228.158	369.0594
10010	1	2228.02	374.5323
10010	50	2228.174	380.9468
10010	51	2228.182	386.8905
10010	68	2228.189	392.8341
10010	43	2228.197	398.7778
10010	36	2228	404.5028
10010	65	2228.213	410.6651
10010	75	2228.221	416.6088
10010	28	2228.342	422.6726
10010	55	2228.237	428.4962
10010	80	2228.491	434.4959
10010	42	2228.252	440.3835
10010	56	2228.26	446.3271
10010	46	2228.268	452.2708
10017	33	2228.276	458.2145
10017	82	2228.284	464.1582
10017	52	2228.292	470.1018
10017	45	2228.3	476.0455
10017	46	2228.308	481.9892
10017	59	2228.315	487.9329
10017	57	2228.323	493.8765
10017	272	2228.331	499.8202
10017	80	2228.339	505.7639
10017	53	2228.347	511.7075
10017	62	2227.492	518
10017	44	2228.363	523.5948
10017	38	2228.371	529.5385
10017	59	2228.481	535
10017	31	2228.386	541.4259
10017	46	2228.394	547.3696
10017	173	2228.489	553
10017	50	2228.49	559
10017	56	2228.468	565.4799
10017	38	2228.426	571.1442
10017	34	2228.434	577.0879
10017	60	2228.441	583.0316
10017	63	2228.499	590
10019	239	2228.457	594.9189
10019	76	2228.473	606.8062
10019	92	2228.481	612.7499
10019	31	2228.531	618.4935
10019	87	2228.497	624.6373
10019	173	2228.5	630.5004
10019	58	2228.52	642.4683
10019	152	2228.528	648.4119
10019	54	2229	654.4965
10019	46	2228.544	660.2993
10019	85	2228.552	666.2429
10019	151	2228.56	672.1866
10019	98	2228.567	678.1302
10019	52	2228.575	684.0739
10019	58	2228.583	690.0176
10019	101	2228.591	695.9613
10020	52	2228.599	701.905
10020	58	2228.607	707.8486
10020	78	2228.615	713.7923
10020	100	2228.622	719.736
10020	68	2228.63	725.6796
10020	55	2228.638	731.6233
10020	122	2228.646	737.567
10020	45	2228.654	743.5106
